product_id,category_id,sku,name,slug,description,price,cost,status,created_at,updated_at
1,9,QCK-5506,Quantum Classic Kettle,quantum-classic-kettle,The high-performance Quantum Classic Kettle designed for optimal durability and style.,162.04,118.3,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
2,8,QEOC-1520,Quantum Ergonomic Office Chair,quantum-ergonomic-office-chair,The high-performance Quantum Ergonomic Office Chair designed for optimal durability and style.,88.35,62.69,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
3,3,TAS-4611,Terra Active Switch,terra-active-switch,The high-performance Terra Active Switch designed for optimal durability and style.,117.81,81.86,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
4,3,TCLB-5552,Terra Comfort Light Bulb,terra-comfort-light-bulb,The high-performance Terra Comfort Light Bulb designed for optimal durability and style.,47.32,26.61,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
5,2,TLM-1711,Titan Lite Monitor,titan-lite-monitor,The high-performance Titan Lite Monitor designed for optimal durability and style.,1463.52,933.3,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
6,8,MAB-6925,Matrix Active Bookshelf,matrix-active-bookshelf,The high-performance Matrix Active Bookshelf designed for optimal durability and style.,885.05,535.65,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
7,5,QPC-7227,Quantum Premium Chinos,quantum-premium-chinos,The high-performance Quantum Premium Chinos designed for optimal durability and style.,92.06,56.9,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
8,3,SPC-3803,Summit Pro Camera,summit-pro-camera,The high-performance Summit Pro Camera designed for optimal durability and style.,138.19,97.15,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
9,9,TPB-6313,Terra Portable Blender,terra-portable-blender,The high-performance Terra Portable Blender designed for optimal durability and style.,508.85,301.45,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
10,5,VPC-4456,Vortex Pro Chinos,vortex-pro-chinos,The high-performance Vortex Pro Chinos designed for optimal durability and style.,274.98,173.64,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
11,6,VAJ-3340,Vortex Active Jeans,vortex-active-jeans,The high-performance Vortex Active Jeans designed for optimal durability and style.,103.73,72.88,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
12,8,VEOC-6930,Vortex Ergonomic Office Chair,vortex-ergonomic-office-chair,The high-performance Vortex Ergonomic Office Chair designed for optimal durability and style.,364.11,202.42,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
13,2,SWT-3621,Stellar Wireless Tablet,stellar-wireless-tablet,The high-performance Stellar Wireless Tablet designed for optimal durability and style.,1587.28,1050.43,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
14,6,EPD-2876,Echo Pro Dress,echo-pro-dress,The high-performance Echo Pro Dress designed for optimal durability and style.,243.37,155.16,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
15,2,MCT-8433,Matrix Comfort Tablet,matrix-comfort-tablet,The high-performance Matrix Comfort Tablet designed for optimal durability and style.,21.44,12.91,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
16,10,NPD-5889,Nexus Portable Dumbbells,nexus-portable-dumbbells,The high-performance Nexus Portable Dumbbells designed for optimal durability and style.,1011.27,650.82,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
